id,inst,instrument_de,instrument_fr,instrument_en,respondant_de,respondant_fr,respondant_en,type_de,type_fr,type_en,pct,plot,"label_de","label_fr","label_en"
IPf_Nachhaltigkeit_3,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Unternehmen,entreprises,companies,ökologische Nachhaltigkeit,durabilité environnementale,environmental sustainability,43,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
IPf_Nachhaltigkeit_5,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Unternehmen,entreprises,companies,soziale Nachhaltigkeit,durabilité sociale,social sustainability,29,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
IPf_AusmassDigital_5,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Unternehmen,entreprises,companies,Digitale Geschäftsmodelle,modèles d'entreprise numériques,digital business models,28,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
IPf_AusmassDigital_3,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Unternehmen,entreprises,companies,Digitale Technologien,technologies numériques,digital technologies,46,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
IPf_Nachhaltigkeit_4,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Forschende,chercheurs,researchers,ökologische Nachhaltigkeit,durabilité environnementale,environmental sustainability,48,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
IPf_Nachhaltigkeit_6,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Forschende,chercheurs,researchers,soziale Nachhaltigkeit,durabilité sociale,social sustainability,34,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
IPf_AusmassDigital_6,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Forschende,chercheurs,researchers,Digitale Geschäftsmodelle,modèles d'entreprise numériques,digital business models,32,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
IPf_AusmassDigital_4,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Forschende,chercheurs,researchers,Digitale Technologien,technologies numériques,digital technologies,51,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
IPf_AusmassDigital_1,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Unternehmen,entreprises,companies,Digitalisierung,numérisation,digitisation,50,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
IPf_Nachhaltigkeit_1,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Unternehmen,entreprises,companies,Nachhaltigkeit,durabilité,sustainability,56,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
