instrument_de,instrument_fr,instrument_en,subcluster,obs_value
BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Engineering,0.38
BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Life sciences,0.44
BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Energy & environment,0.06
BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,ICT,0.06
BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Social sciences & business mgmt,0.06
BRIDGE Proof of Concept,BRIDGE Proof of Concept,BRIDGE Proof of Concept,Engineering,0.33
BRIDGE Proof of Concept,BRIDGE Proof of Concept,BRIDGE Proof of Concept,Life sciences,0.37
BRIDGE Proof of Concept,BRIDGE Proof of Concept,BRIDGE Proof of Concept,Energy & environment,0.09
BRIDGE Proof of Concept,BRIDGE Proof of Concept,BRIDGE Proof of Concept,ICT,0.14
BRIDGE Proof of Concept,BRIDGE Proof of Concept,BRIDGE Proof of Concept,Social sciences & business mgmt,0.07
Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec partenaire de mise en œuvre,Innovation projects with implementation partner,Engineering,0.39
Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec partenaire de mise en œuvre,Innovation projects with implementation partner,Life sciences,0.23
Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec partenaire de mise en œuvre,Innovation projects with implementation partner,Energy & environment,0.13
Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec partenaire de mise en œuvre,Innovation projects with implementation partner,ICT,0.17
Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec partenaire de mise en œuvre,Innovation projects with implementation partner,Social sciences & business mgmt,0.08
Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans partenaire de mise en œuvre,Innovation projects without implementation partner,Engineering,0.16
Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans partenaire de mise en œuvre,Innovation projects without implementation partner,Life sciences,0.71
Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans partenaire de mise en œuvre,Innovation projects without implementation partner,Energy & environment,0.04
Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans partenaire de mise en œuvre,Innovation projects without implementation partner,ICT,0.08
Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans partenaire de mise en œuvre,Innovation projects without implementation partner,Social sciences & business mgmt,0.01
Innovationsscheck,Chèque d'innovation,Innovation cheque,Engineering,0.24
Innovationsscheck,Chèque d'innovation,Innovation cheque,Life sciences,0.16
Innovationsscheck,Chèque d'innovation,Innovation cheque,Energy & environment,0.16
Innovationsscheck,Chèque d'innovation,Innovation cheque,ICT,0.22
Innovationsscheck,Chèque d'innovation,Innovation cheque,Social sciences & business mgmt,0.22
Start-up Innovationsprojekte,Projets d'innovation pour start-up,Start-up innovation projects,Engineering,0.16
Start-up Innovationsprojekte,Projets d'innovation pour start-up,Start-up innovation projects,Life sciences,0.37
Start-up Innovationsprojekte,Projets d'innovation pour start-up,Start-up innovation projects,Energy & environment,0.2
Start-up Innovationsprojekte,Projets d'innovation pour start-up,Start-up innovation projects,ICT,0.24
Start-up Innovationsprojekte,Projets d'innovation pour start-up,Start-up innovation projects,Social sciences & business mgmt,0.03
Start-up Coaching,Start-up Coaching,Start-up Coaching,Engineering,0.14
Start-up Coaching,Start-up Coaching,Start-up Coaching,Life sciences,0.34
Start-up Coaching,Start-up Coaching,Start-up Coaching,Energy & environment,0.17
Start-up Coaching,Start-up Coaching,Start-up Coaching,ICT,0.27
Start-up Coaching,Start-up Coaching,Start-up Coaching,Social sciences & business mgmt,0.08
Innovationsmentoring,Innovationsmentoring,Innovation mentoring,Engineering,0.2
Innovationsmentoring,Innovationsmentoring,Innovation mentoring,Life sciences,0.23
Innovationsmentoring,Innovationsmentoring,Innovation mentoring,Energy & environment,0.14
Innovationsmentoring,Innovationsmentoring,Innovation mentoring,ICT,0.29
Innovationsmentoring,Innovationsmentoring,Innovation mentoring,Social sciences & business mgmt,0.15
