id,title,pct,"text_de","text_fr","text_en",inst,dy_text,negative,opposites,rank
BPi_Spinoff_1,br_spinoffs,69,"der Proof of Concept-Projekte haben Start-ups oder Spin-offs gegründet (Förderperiode 2017–2021).","des projets BRIDGE Proof of Concept ont donné naissance à des start-ups ou des spin-offs (période de financement 2017–2021).","of Proof of Concept projects have founded start-ups or spin-offs (funding period 2017-2021).",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
IBf_Skills_1,ib_capabilities,81,"der Beteiligten konnten ihre Fähigkeiten und Kompetenzen für die Entwicklung und das Testen radikaler Innovationsideen erhöhen.","des participants ont pu améliorer leurs capacités et leurs compétences pour développer et tester des idées d'innovation radicales.","of those involved were able to increase their skills and competencies for developing and testing radical innovation ideas.",Starthilfe für Projekte und Vernetzung,-85,false,false,pct1
IBf_WeiterEntwickelt_1,ib_continued,81,"der unterstützten Innovationsideen werden nach der Förderung durch Innovation Booster weitergeführt.","des idées innovantes financées sont poursuivies après l'encouragement par Innovation Booster.","of the innovation ideas supported are continued after the funding from Innovation Booster.",Starthilfe für Projekte und Vernetzung,0,false,false,pct1
IPf_AusmassDisruptivitaet_1,ip_disruptive,33,"der Unternehmen verfolgen disruptive Innovationen.","des entreprises poursuivent des innovations disruptives.","of companies pursue disruptive innovations.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
IPf_Treiber_1,ip_impuls,76,"der geförderten Projektideen stammen vom Unternehmen oder sind gemeinsam mit den Forschenden entwickelt worden.","des idées de projets financés proviennent de l'entreprise ou ont été développées conjointement avec les chercheurs.","of the funded project ideas come from the company or have been developed together with the researchers.",Förderung für Schweizer Innovationsprojekte,-100,false,false,pct1
IPf_Treiber_2,ip_impuls,41,"41 % stammen ausschiesslich vom Unternehmen.","41 % proviennent exclusivement de l'entreprise.","41% come exclusively from the company.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
IPf_Disziplinaritaet_1,ip_inter_trans,56,"der geförderten Projekte sind interdisziplinär.","des projets financés sont interdisciplinaires.","of the funded projects are interdisciplinary.",Förderung für Schweizer Innovationsprojekte,-60,false,false,pct1
IPf_Disziplinaritaet_2,ip_inter_trans,8,"8 % der Projekte sind transdisziplinär.","8 % des projets sont transdisciplinaires.","8 % of the projects are transdisciplinary.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
IPi_Additionalitaet_2,ip_mitnahme,16,"der Unternehmen hätten das Projekt in etwas geringerem Umfang durchgeführt.","des entreprises auraient réalisé le projet à une échelle moindre.","of companies would have carried out the project on a slightly smaller scale.",Förderung für Schweizer Innovationsprojekte,0,true,false,pct1
IPi_Additionalitaet_1,ip_mitnahme,3,"3 % der Unternehmen hätten das Projekt in derselben Form durchgeführt.","3 % des entreprises auraient réalisé le projet sous la même forme.","3% of companies would have carried out the project in the same way.",Förderung für Schweizer Innovationsprojekte,10,true,false,pct2
IPi_Neuheitslevel_1,ip_new_to_market,32,"der Unternehmen entwickeln eine Neuheit für internationale Märkte.","des entreprises développent une nouveauté pour les marchés internationaux.","of companies develop a novelty for international markets.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
RPf_Ergebnisse_3,ip_peer_pub,61,"der Forschungspartner publizieren ihre Ergebnisse in einer Fachzeitschrift mit Peer-Review.","des partenaires de recherche publient leurs résultats dans une revue spécialisée avec évaluation par les pairs.","of research partners publish their results in a peer-reviewed journal.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
RPf_Ergebnisse_1,ip_peer_pub,21,"In 21 % der geförderten Projekte werden Dissertationen geschrieben.","Des thèses sont rédigées dans 21 % des projets financés.","Dissertations are written in 21% of funded projects.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
IPf_ZielErreichung_1,ip_project_goals,45,"der Unternehmen erreichen ihre Projektziele vollständig oder übertreffen sie.","des entreprises atteignent entièrement ou dépassent les objectifs de leur projet.","of companies either fully achieve their project goals or exceed them.",Förderung für Schweizer Innovationsprojekte,-70,true,true,pct1
IPf_ZielErreichung_2,ip_project_goals,4,"Nur 4 % erreichen ihre Ziele nicht oder nur ungenügend.","Seules 4 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.","Only 4 % do not achieve their goals or do not achieve them sufficiently",Förderung für Schweizer Innovationsprojekte,0,true,true,pct2
IPf_AusmassRadikalitaet_1,ip_radikal_inkr,23,"der Unternehmen verfolgen radikale Innovationen.","des entreprises poursuivent des innovations radicales.","of companies pursue radical innovations.",Förderung für Schweizer Innovationsprojekte,-60,false,true,pct1
IPf_AusmassRadikalitaet_2,ip_radikal_inkr,25,"25 % inkrementelle Innovationen.","25 % des innovations incrémentales.","25 % pursue incremental innovations.",Förderung für Schweizer Innovationsprojekte,0,false,true,pct2
IPi_FoParZusArbeitWeiter_1,ip_researchpartner,44,"der Unternehmen arbeiten drei Jahre nach Projektabschluss weiter mit dem Forschungspartner zusammen.","des entreprises continuent à collaborer avec le partenaire de recherche trois ans après la fin du projet.","of companies continue to work with the research partner three years after project completion.",Förderung für Schweizer Innovationsprojekte,-95,false,false,pct1
IPi_ForParAngestellt_1,ip_researchpartner,13,"13 % stellen Forschungspersonal des Forschungspartners an.","13 % recrutent du personnel de recherche du partenaire de recherche.","13 % recruit research staff from the research partner.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
IPf_ErfolgBewertung_2,ip_success,71,"der Forschungspartner bezeichnen das Projekt als grossen oder sehr grossen Erfolg.","des partenaires de recherche considèrent le projet comme un grand ou très grand succès.","of research partners rate the project as a great or very great success.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
IPf_ErfolgBewertung_1,ip_success,38,"Bei den Umsetzungspartner sind es 38 %.","Chez les partenaires de mise en œuvre, ce chiffre est de 38 %.","For implementation partners, the figure is 38%.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
IPi_InnoUmgesetzt_1,ip_time_to_market,57,"der Innovationen sind entweder drei Jahren nach Abschluss umgesetzt oder ihre Umsetzung ist innerhalb von zwei Jahren geplant.","des innovations sont soit mises en œuvre trois ans après la fin du projet, soit leur mise en œuvre est prévue dans les deux ans.","of innovations are either implemented three years after completion or their implementation is planned within two years.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
IPf_InnoUmgesetzt_1,ip_time_to_market,41,"41 % der Innovationen sind nach Projektabschluss oder innerhalb eines Jahres eingeführt.","41 % des innovations sont introduites après la fin du projet ou dans un délai d'un an.","41% of innovations are introduced after project completion or within one year.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
IPi_WirkFoerderung_1,ip_wtt,70,"der Unternehmen berichten über eine Stärkung des WTT drei Jahre nach Projektabschluss.","des entreprises font état d'un renforcement du TST trois ans après la fin du projet.","of the companies report a strengthening of KTT three years after project completion.",Förderung für Schweizer Innovationsprojekte,-95,false,false,pct1
IPi_WirkProjekt_1,ip_wtt,55,"55 % haben auf Basis der Projektergebnisse weitere Projekte oder neue Innovationsideen entwickelt.","55 % ont développé d'autres projets ou de nouvelles idées d'innovation sur la base des résultats du projet.","55% have developed further projects or new innovation ideas based on the project results.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
RPf_ZielErreichung_3,ipr_impl_goals,44,"der Forschungspartner erreichen ihre anwendungsorientierten Ziele vollständig oder übertreffen sie.","des partenaires de recherche atteignent entièrement ou dépassent leurs objectifs d'application.","of research partners fully achieve or exceed their application-oriented goals.",Förderung für Schweizer Innovationsprojekte,-85,true,true,pct1
RPf_ZielErreichung_4,ipr_impl_goals,2,"2 % erreichen die Ziele nicht oder nur ungenügend.","2 % n'atteignent pas les objectifs ou les atteignent de manière insuffisante.","2 % do not achieve their goals or do not achieve them sufficiently.",Förderung für Schweizer Innovationsprojekte,0,true,true,pct2
RPf_ZusArbeit_Doch_1,ipr_imppartner,58,"der Forschungspartner haben mit potenziellen Umsetzungspartner zusammengearbeitet.","des partenaires de recherche ont collaboré avec des partenaires de mise en œuvre potentiels.","of the research partners have worked with potential implementation partners.",Förderung für Schweizer Innovationsprojekte,-5,false,false,pct1
RPf_Spinoff_1,ipr_imppartner,51,"Bei 51 % ist die Ausgründung eines Start-ups oder Spin-offs erfolgt oder geplant.","Dans 51 % des projets, la création d'une start-up ou d'un spin-off a eu lieu ou est prévue.","In 51% of the projects, a spin-off or start-up has been founded or is planned.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
RPf_Disziplinaritaet_1,ipr_inter_trans,55,"der geförderten Projekte sind interdisziplinär.","des projets financés sont interdisciplinaires.","of the funded projects are interdisciplinary.",Förderung für Schweizer Innovationsprojekte,-85,false,false,pct1
RPf_Disziplinaritaet_2,ipr_inter_trans,4,"4 % der Projekte sind transdisziplinär.","4 % des projets sont transdisciplinaires.","4 % of the projects are transdisciplinary.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
RPf_Ergebnisse_4,ipr_peer_review,77,"der Forschungspartner publizieren ihre wissenschaftlichen Ergebnisse in Fachzeitschriften.","des partenaires de recherche publient leurs résultats scientifiques dans des revues spécialisées.","of research partners publish their results in scientific journals.",Förderung für Schweizer Innovationsprojekte,-85,false,false,pct1
RPf_Ergebnisse_2,ipr_peer_review,27,"Bei 27 % der geförderten Projekte werden Dissertationsprojekte verfolgt.","Dans 27 % des projets financés, des projets de thèse sont poursuivis.","Dissertation projects are pursued in 27% of the funded projects.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
RPf_ZielErreichung_1,ipr_research_goals,67,"der Forschungspartner erreichen ihre Forschungsziele vollständig oder übertreffen sie.","des partenaires de recherche atteignent entièrement ou dépassent leurs objectifs de recherche.","of research partners fully achieve or exceed their research goals.",Förderung für Schweizer Innovationsprojekte,-85,true,true,pct1
RPf_ZielErreichung_2,ipr_research_goals,1,"Nur 1 % erreichen die Ziele nicht oder nur ungenügend.","Seuls 1 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.","Only 1 % do not achieve their goals or do not achieve them sufficiently.",Förderung für Schweizer Innovationsprojekte,0,true,true,pct2
RPf_ProjektStand_1,ipr_proj_stand,68,"Machbarkeit erfolgreich geprüft.","Faisabilité vérifiée avec succès.","Feasibility successfully tested.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
RPf_ProjektStand_2,ipr_proj_stand,42,"Schlüssige Ergebnisse für die Umsetzung erzielt.","Résultats concluants obtenus pour la mise en œuvre.","Coherent results for implementation achieved.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
RPf_UmsetzungWahrscheinlich_1,ipr_umsetzung,48,"Projekt wird mit hoher / sehr hoher Wahrscheinlichkeit auf dem Markt umgesetzt.","Le projet a une forte / très forte probabilité d'être mis en œuvre sur le marché.","Project is very/highly likely to be implemented on the market.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
BDf_ZielErreichung_3,bd_impl_goals,63,"der Forschungspartner erreichen ihre anwendungsorientierten Ziele vollständig oder übertreffen sie.","des partenaires de recherche atteignent entièrement ou dépassent leurs objectifs d'application.","of research partners fully achieve or exceed their application-oriented goals.",Förderung für Schweizer Innovationsprojekte,-85,true,true,pct1
BDf_ZielErreichung_4,bd_impl_goals,4,"4 % erreichen die Ziele nicht oder nur ungenügend.","4 % n'atteignent pas les objectifs ou les atteignent de manière insuffisante.","4 % do not achieve their goals or do not achieve them sufficiently.",Förderung für Schweizer Innovationsprojekte,0,true,true,pct2
BDf_ZusArbeit_IP_1,bd_imppartner,76,"der Forschungspartner haben mit potenziellen Umsetzungspartner zusammengearbeitet.","des partenaires de recherche ont collaboré avec des partenaires de mise en œuvre potentiels.","of the research partners have worked with potential implementation partners.",Förderung für Schweizer Innovationsprojekte,-5,false,false,pct1
BDf_Spinoff_1,bd_imppartner,17,"Bei 17 % ist die Ausgründung eines Start-ups oder Spin-offs erfolgt oder geplant.","Dans 17 % des projets, la création d'une start-up ou d'un spin-off a eu lieu ou est prévue.","In 17% of the projects, a spin-off or start-up has been founded or is planned.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
BDf_Disziplinaritaet_1,bd_inter_trans,63,"der geförderten Projekte sind interdisziplinär.","des projets financés sont interdisciplinaires.","of the funded projects are interdisciplinary.",Förderung für Schweizer Innovationsprojekte,-85,false,false,pct1
BDf_Disziplinaritaet_2,bd_inter_trans,3,"3 % der Projekte sind transdisziplinär.","3 % des projets sont transdisciplinaires.","3 % of the projects are transdisciplinary.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
BDf_Ergebnisse_2,bd_peer_review,97,"der Forschungspartner publizieren ihre wissenschaftlichen Ergebnisse in Fachzeitschriften.","des partenaires de recherche publient leurs résultats scientifiques dans des revues spécialisées.","of research partners publish their results in scientific journals.",Förderung für Schweizer Innovationsprojekte,-85,false,false,pct1
BDf_Ergebnisse_1,bd_peer_review,82,"Bei 82 % der geförderten Projekte werden Dissertationsprojekte verfolgt.","Dans 82 % des projets financés, des projets de thèse sont poursuivis.","Dissertation projects are pursued in 82% of the funded projects.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
BDf_ZielErreichung_1,bd_research_goals,67,"der Forschungspartner erreichen ihre Forschungsziele vollständig oder übertreffen sie.","des partenaires de recherche atteignent entièrement ou dépassent leurs objectifs de recherche.","of research partners fully achieve or exceed their research goals.",Förderung für Schweizer Innovationsprojekte,-85,true,true,pct1
BDf_ZielErreichung_2,bd_research_goals,0,"0 % erreichen die Ziele nicht oder nur ungenügend.","0 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.","0 % do not achieve their goals or do not achieve them sufficiently.",Förderung für Schweizer Innovationsprojekte,0,true,true,pct2
BDf_ProjektStand_1,ipr_proj_stand,77,"Machbarkeit erfolgreich geprüft.","Faisabilité vérifiée avec succès.","Feasibility successfully tested.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
BDf_ProjektStand_2,ipr_proj_stand,53,"Schlüssige Ergebnisse für die Umsetzung erzielt.","Résultats concluants obtenus pour la mise en œuvre.","Coherent results for implementation achieved.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct2
BDf_UmsetzungWahrscheinlich_1,ipr_umsetzung,58,"Projekt wird mit hoher / sehr hoher Wahrscheinlichkeit auf dem Markt umgesetzt.","Le projet a une forte / très forte probabilité d'être mis en œuvre sur le marché.","Project is very/highly likely to be implemented on the market.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
ISf_ForPaZA_ErstesMal_1,is_connection,56,"der KMU haben erstmalig mit einem Forschungspartner zusammengearbeitet.","des PME ont collaboré pour la première fois avec un partenaire de recherche.","of SMEs worked with a research partner for the first time.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
ISf_WeiterEntwickelt_1,is_ideas,76,"der Innovationsideen werden weiterverfolgt.","des idées d'innovation sont poursuivies.","of innovation ideas continue to be pursued.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
